City,Population (2011),State,Population (2024 Estimate),Working Population (2024 Estimate)
Mumbai,12442373,Maharashtra,22050325,8820130
Delhi,11034555,Delhi,19555395,7822158
Bengaluru,8443675,Karnataka,14963848,5985539
Hyderabad,6993262,Telangana,12393432,4957373
Ahmedabad,5577940,Gujarat,9885203,3954081
Chennai,4646732,Tamil Nadu,8234920,3293968
Kolkata,4496694,West Bengal,7969024,3187610
Surat,4467797,Gujarat,7917812,3167125
Pune,3124458,Maharashtra,5537152,2214861
Jaipur,3046163,Rajasthan,5398398,2159359
Lucknow,2817105,Uttar Pradesh,4992462,1996985
Kanpur,2765348,Uttar Pradesh,4900739,1960296
Nagpur,2405665,Maharashtra,4263310,1705324
Indore,1964086,Madhya Pradesh,3480746,1392298
Thane,1841488,Maharashtra,3263478,1305391
Bhopal,1798218,Madhya Pradesh,3186795,1274718
Visakhapatnam,1728128,Andhra Pradesh,3062582,1225033
Pimpri-Chinchwad,1727692,Maharashtra,3061809,1224724
Patna,1684222,Bihar,2984772,1193909
Vadodara,1670806,Gujarat,2960996,1184398
Ghaziabad,1648643,Uttar Pradesh,2921719,1168688
Ludhiana,1618879,Punjab,2868971,1147588
Agra,1585704,Uttar Pradesh,2810178,1124071
Nashik,1486053,Maharashtra,2633577,1053431
Faridabad,1414050,Haryana,2505974,1002390
Meerut,1305429,Uttar Pradesh,2313476,925390
Rajkot,1286678,Gujarat,2280246,912098
Kalyan-Dombivli,1247327,Maharashtra,2210508,884203
Vasai-Virar,1222390,Maharashtra,2166315,866526
Varanasi,1198491,Uttar Pradesh,2123961,849584
Srinagar,1180570,Jammu and Kashmir,2092202,836881
Aurangabad,1175116,Maharashtra,2082536,833014
Dhanbad,1162472,Jharkhand,2060128,824051
Amritsar,1132383,Punjab,2006805,802722
Navi Mumbai,1120547,Maharashtra,1985829,794332
Prayagraj,1112544,Uttar Pradesh,1971646,788658
Howrah,1077075,West Bengal,1908788,763515
Ranchi,1073427,Jharkhand,1902323,760929
Jabalpur,1055525,Madhya Pradesh,1870597,748239
Gwalior,1054420,Madhya Pradesh,1868639,747456
Coimbatore,1050721,Tamil Nadu,1862084,744834
Vijayawada,1034358,Andhra Pradesh,1833085,733234
Jodhpur,1033756,Rajasthan,1832018,732807
Madurai,1017865,Tamil Nadu,1803856,721542
Raipur,1010433,Chhattisgarh,1790685,716274
Kota,1001694,Rajasthan,1775198,710079
Guwahati,963429,Assam,1707385,682954
Chandigarh,960787,Chandigarh,1702703,681081
Solapur,951118,Maharashtra,1685568,674227
Hubli-Dharwad,943857,Karnataka,1672700,669080
Tiruchirappalli,916674,Tamil Nadu,1624526,649810
Tiruppur,898167,Tamil Nadu,1591728,636691
Moradabad,889810,Uttar Pradesh,1576918,630767
Mysore,887446,Karnataka,1572728,629091
Bareilly,877778,Uttar Pradesh,1555595,622238
Gurgaon,876824,Haryana,1553904,621562
Aligarh,872575,Uttar Pradesh,1546374,618550
Jalandhar,862196,Punjab,1527980,611192
Bhubaneswar,837737,Odisha,1484634,593854
Salem,831038,Tamil Nadu,1472762,589105
Mira-Bhayandar,814655,Maharashtra,1443728,577491
Warangal,811844,Telangana,1438747,575499
Thiruvananthapuram,752490,Kerala,1333560,533424
Guntur,743354,Andhra Pradesh,1317369,526948
Bhiwandi,711329,Maharashtra,1260614,504246
Saharanpur,703345,Uttar Pradesh,1246465,498586
Gorakhpur,671048,Uttar Pradesh,1189229,475692
Bikaner,647804,Rajasthan,1148036,459214
Amravati,646801,Maharashtra,1146258,458503
Noida,642381,Uttar Pradesh,1138425,455370
Jamshedpur,631364,Jharkhand,1118901,447560
Bhilai,625697,Chhattisgarh,1108858,443543
Cuttack,606007,Odisha,1073963,429585
Firozabad,603797,Uttar Pradesh,1070047,428019
Kochi,601574,Kerala,1066107,426443
Nellore,600869,Andhra Pradesh,1064858,425943
Bhavnagar,593768,Gujarat,1052273,420909
Dehradun,578420,Uttarakhand,1025074,410030
Durgapur,566937,West Bengal,1004724,401890
Asansol,564491,West Bengal,1000389,400156
Nanded,550564,Maharashtra,975707,390283
Kolhapur,549283,Maharashtra,973437,389375
Ajmer,542580,Rajasthan,961558,384623
Gulbarga,532031,Karnataka,942863,377145
Jamnagar,529308,Gujarat,938038,375215
Ujjain,515215,Madhya Pradesh,913062,365225
Loni,512296,Uttar Pradesh,907889,363156
Siliguri,509709,West Bengal,903304,361322
Jhansi,507293,Uttar Pradesh,899023,359609
Ulhasnagar,506937,Maharashtra,898392,359357
Jammu,503690,Jammu and Kashmir,892637,357055
Sangli-Miraj & Kupwad,502697,Maharashtra,890878,356351
Mangalore,499486,Karnataka,885187,354075
Erode,498129,Tamil Nadu,882782,353113
Belgaum,488292,Karnataka,865349,346140
Ambattur,478134,Tamil Nadu,847347,338939
Tirunelveli,473637,Tamil Nadu,839378,335751
Malegaon,471006,Maharashtra,834715,333886
Gaya,463454,Bihar,821331,328532
Jalgaon,460468,Maharashtra,816040,326416
Udaipur,451735,Rajasthan,800563,320225
Maheshtala,449423,West Bengal,796466,318586
Davanagere,435128,Karnataka,771132,308453
Kozhikode,432097,Kerala,765761,306304
Kurnool,430214,Andhra Pradesh,762424,304970
Akola,425817,Maharashtra,754631,301852
Rajpur Sonarpur,423806,West Bengal,751067,300427
Rajahmundry,419818,Andhra Pradesh,744000,297600
Bokaro,413934,Jharkhand,733572,293429
South Dumdum,410524,West Bengal,727529,291012
Bellary,409644,Karnataka,725969,290388
Patiala,405164,Punjab,718030,287212
Gopalpur,404991,West Bengal,717723,287089
Agartala,399688,Tripura,708326,283330
Bhagalpur,398138,Bihar,705579,282232
Muzaffarnagar,392451,Uttar Pradesh,695500,278200
Bhatpara,390467,West Bengal,691984,276794
Panihati,383522,West Bengal,679676,271870
Latur,382754,Maharashtra,678315,271326
Dhule,376093,Maharashtra,666511,266604
Tirupati,374260,Andhra Pradesh,663262,265305
Rohtak,373133,Haryana,661265,264506
Korba,363210,Chhattisgarh,643679,257472
Bhilwara,360009,Rajasthan,638007,255203
Berhampur,355823,Odisha,630588,252235
Muzaffarpur,351838,Bihar,623526,249410
Ahmednagar,350905,Maharashtra,621872,248749
Mathura,349336,Uttar Pradesh,619092,247637
Kollam,349033,Kerala,618555,247422
Avadi,344701,Tamil Nadu,610878,244351
Kadapa,343054,Andhra Pradesh,607959,243184
Kamarhati,336579,West Bengal,596484,238594
Bilaspur,330106,Chhattisgarh,585013,234005
Shahjahanpur,327975,Uttar Pradesh,581236,232494
Bijapur,326360,Karnataka,578374,231350
Rampur,325248,Uttar Pradesh,576403,230561
Shivamogga,322428,Karnataka,571406,228562
Chandrapur,321036,Maharashtra,568939,227576
Junagadh,320250,Gujarat,567546,227018
Thrissur,315596,Kerala,559298,223719
Alwar,315310,Rajasthan,558791,223516
Bardhaman,314638,West Bengal,557600,223040
Kulti,313977,West Bengal,556429,222572
Kakinada,325985,Andhra Pradesh,577709,231084
Nizamabad,310467,Telangana,550208,220083
Parbhani,307191,Maharashtra,544403,217761
Tumkur,305821,Karnataka,541975,216790
Khammam,305000,Telangana,540520,216208
Ozhukarai,300028,Puducherry,531708,212683
Bihar Sharif,296889,Bihar,526146,210458
Panipat,294150,Haryana,521291,208516
Darbhanga,294116,Bihar,521231,208492
Bally,291972,West Bengal,517432,206973
Aizawl,291822,Mizoram,517166,206866
Dewas,289438,Madhya Pradesh,512941,205176
Ichalkaranji,287570,Maharashtra,509630,203852
Karnal,286974,Haryana,508574,203430
Bathinda,285813,Punjab,506517,202607
Jalna,285349,Maharashtra,505694,202278
Eluru,28364814,Andhra Pradesh,50268013,20107205
Kirari Suleman Nagar,282598,Delhi,500819,200328
Barasat,283443,West Bengal,502317,200927
Purnia,280547,Bihar,497184,198874
Satna,280248,Madhya Pradesh,496654,198662
Mau,279060,Uttar Pradesh,494549,197820
Sonipat,277053,Haryana,490992,196397
Farrukhabad,275750,Uttar Pradesh,488683,195473
Sagar,273357,Madhya Pradesh,484442,193777
Rourkela,273217,Odisha,484194,193678
Durg,268679,Chhattisgarh,476152,190461
Imphal,264986,Manipur,469607,187843
Ratlam,264810,Madhya Pradesh,469295,187718
Hapur,262801,Uttar Pradesh,465735,186294
Arrah,261099,Bihar,462719,185088
Karimnagar,260899,Telangana,462364,184946
Anantapur,261004,Andhra Pradesh,462550,185020
Etawah,256838,Uttar Pradesh,455167,182067
Ambarnath,254003,Maharashtra,450143,180057
North Dumdum,253625,West Bengal,449473,179789
Bharatpur,252109,Rajasthan,446787,178715
Begusarai,251136,Bihar,445062,178025
New Delhi,249998,Delhi,443045,177218
Gandhidham,248705,Gujarat,440754,176302
Baranagar,248466,West Bengal,440330,176132
Tiruvottiyur,248059,Tamil Nadu,439609,175844
Puducherry,241773,Puducherry,428469,171388
Sikar,237579,Rajasthan,421037,168415
Thoothukudi,237374,Tamil Nadu,420673,168269
Rewa,235422,Madhya Pradesh,417214,166886
Mirzapur,233691,Uttar Pradesh,414146,165658
Raichur,232456,Karnataka,411958,164783
Pali,229956,Rajasthan,407527,163011
Ramagundam,229644,Telangana,406974,162790
Haridwar,228832,Uttarakhand,405535,162214
Vijayanagaram,228025,Andhra Pradesh,404105,161642
Katihar,225982,Bihar,400484,160194
Nagarcoil,224849,Tamil Nadu,398477,159391
Sri Ganganagar,224773,Rajasthan,398342,159337
Karawal Nagar,224666,Delhi,398152,159261
Mango,223805,Jharkhand,396626,158650
Thanjavur,222943,Tamil Nadu,395099,158040
Bulandshahr,222519,Uttar Pradesh,394347,157739
Uluberia,222240,West Bengal,393853,157541
Murwara,221883,Uttar Pradesh,393220,157288
Sambhal,220813,Uttar Pradesh,391324,156530
Singrauli,220257,Madhya Pradesh,390339,156136
Nadiad,218095,Gujarat,386507,154603
Secunderabad,217910,Telangana,386179,154472
Naihati,217900,West Bengal,386162,154465
Yamunanagar,216677,Haryana,383994,153598
Bidhan Nagar,215514,West Bengal,381933,152773
Pallavaram,215417,Tamil Nadu,381761,152704
Bidar,214373,Karnataka,379911,151964
Munger,213303,Bihar,378015,151206
Panchkula,211355,Haryana,374563,149825
Burhanpur,210886,Madhya Pradesh,373731,149492
Raurkela Industrial Township,210317,Odisha,372723,149089
Kharagpur,207604,West Bengal,367915,147166
Dindigul,207327,Tamil Nadu,367424,146970
Gandhinagar,206167,Gujarat,365368,146147
Hospet,206167,Karnataka,365368,146147
Nangloi Jat,205596,Delhi,364356,145742
Malda,205521,West Bengal,364224,145690
Ongole,204746,Andhra Pradesh,362850,145140
Deoghar,203123,Jharkhand,359974,143990
Chapra,202352,Bihar,358607,143443
Haldia,200827,West Bengal,355905,142362
Khandwa,200738,Madhya Pradesh,355747,142299
Nandyal,200516,Andhra Pradesh,355354,142142
Chittoor,189332,Andhra Pradesh,335533,134213
Morena,200482,Madhya Pradesh,355293,142117
Amroha,198471,Uttar Pradesh,351730,140692
Anand,198282,Gujarat,351395,140558
Bhind,197585,Madhya Pradesh,350159,140064
Bhalswa Jahangir Pur,197148,Delhi,349385,139754
Madhyamgram,196127,West Bengal,347576,139030
Bhiwani,196057,Haryana,347451,138980
Baharampur,195223,West Bengal,345973,138389
Ambala,195153,Haryana,345849,138340
Morvi,194947,Gujarat,345484,138194
Fatehpur,193193,Uttar Pradesh,342376,136950
Rae Bareli,191316,Uttar Pradesh,339049,135620
Khora,190005,Uttar Pradesh,336726,134690
Bhusawal,187421,Maharashtra,332147,132859
Orai,187137,Uttar Pradesh,331643,132657
Bahraich,186223,Uttar Pradesh,330024,132010
Vellore,185803,Tamil Nadu,329279,131712
Mahesana,184991,Gujarat,327840,131136
Sambalpur,184000,Odisha,326084,130434
Raiganj,183612,West Bengal,325396,130158
Sirsa,182534,Haryana,323486,129394
Danapur,182429,Bihar,323300,129320
Serampore,181842,West Bengal,322260,128904
Sultan Pur Majra,181554,Delhi,321749,128700
Guna,180935,Madhya Pradesh,320652,128261
Jaunpur,180362,Uttar Pradesh,319637,127855
Panvel,180020,Maharashtra,319031,127612
Shivpuri,179977,Madhya Pradesh,318955,127582
Surendranagar Dudhrej,177851,Gujarat,315187,126075
Unnao,177658,Uttar Pradesh,314845,125938
Hugli-Chuchura,177259,West Bengal,314138,125655
Badlapur,174226,Maharashtra,308763,123505
Alappuzha,174164,Kerala,308653,123461
Kottayam,172878,Kerala,306374,122550
Gadag-Betageri,172000,Karnataka,304818,121927
Machilipatnam,169892,Andhra Pradesh,301082,120433
Shimla,169578,Himachal Pradesh,300525,120210
Adoni,166537,Andhra Pradesh,295136,118054
Tenali,164937,Andhra Pradesh,292301,116920
Proddatur,162717,Andhra Pradesh,288366,115346
Saharsa,155175,Bihar,275001,110000
Hindupur,151835,Andhra Pradesh,269081,107632
Sasaram,147396,Bihar,261215,104486
Hajipur,147126,Bihar,260736,104294
Beed,146709,Maharashtra,259997,103999
Bhimavaram,142280,Andhra Pradesh,252148,100859
Dehri,137068,Bihar,242911,97164
Madanapalle,135669,Andhra Pradesh,240432,96173
Siwan,134458,Bihar,238286,95314
Bettiah,132896,Bihar,235518,94207
Gondia,132813,Maharashtra,235371,94148
Guntakal,126270,Andhra Pradesh,223775,89510
Srikakulam,125939,Andhra Pradesh,223189,89276
Motihari,125183,Bihar,221849,88740
Dharmavaram,121874,Andhra Pradesh,215985,86394
Satara,120195,Maharashtra,213009,85204
Barshi,118722,Maharashtra,210399,84160
Gudivada,118167,Andhra Pradesh,209415,83766
Yavatmal,116551,Maharashtra,206551,82620
Narasaraopet,116250,Andhra Pradesh,206018,82407
Bagaha,113012,Bihar,200279,80112
Achalpur,112311,Maharashtra,199037,79615
Osmanabad,111825,Maharashtra,198176,79270
Nandurbar,111037,Maharashtra,196779,78712
Miryalaguda,109891,Telangana,194748,77899
Tadipatri,108171,Andhra Pradesh,191700,76680
Kishanganj,107076,Bihar,189760,75904
Wardha,106444,Maharashtra,188640,75456
Karaikudi,106714,Tamil Nadu,189118,75647
Suryapet,105250,Telangana,186524,74610
Jamalpur,105221,Bihar,186472,74589
Kavali,104000,Andhra Pradesh,184308,73723
Tadepalligudem,103906,Andhra Pradesh,184142,73657
Udgir,103550,Maharashtra,183511,73404
Amaravati,103000,Andhra Pradesh,182536,73014
Buxar,102591,Bihar,181811,72724
Jehanabad,102456,Bihar,181572,72629
Hinganghat,101805,Maharashtra,180418,72167
